iata,name,city,country,latitude,longitude
ASK,Yamoussoukro Airport,ASK,CI,6.812468244211153,-5.282671075328846
ASL,Harrison County Airport,ASL,US,32.54973094255933,-94.37760734732274
ASM,Asmara International Airport,ASM,ER,15.286513192716722,38.91529307918737
ASN,Talladega Airport,ASN,US,33.432088930487424,-86.0983662241351
ASO,Asosa Airport,ASO,ET,10.04395026885466,34.53789655711249
ASP,Alice Springs Airport,ASP,AU,-23.806395540742248,133.88878320517495
ASQ,Austin Airport,ASQ,US,39.46533162814308,-117.16413611667161
ASR,Erkilet Airport,ASR,TR,38.70329766772852,35.51192251389133
AST,Astoria Airport,AST,US,46.15747925993529,-123.87920927841296
ASU,Silvio Pettirossi Airport,ASU,PY,-25.244520898792405,-57.51350545325482
ASV,Amboseli Airport,ASV,KE,-2.6356058627244288,37.25371637489296
ASW,Daraw Airport,ASW,EG,23.96109420280116,32.824751924584476
ASX,Ashland Airport,ASX,US,46.54709032566575,-90.9112112114604
ASY,Ashley Airport,ASY,US,46.03142811880271,-99.36234087530057
ASZ,Asirim Airport,ASZ,PG,-5.867087673924525,150.36703804955926
ATA,Anta Airport,ATA,PE,-9.35067155394638,-77.5956754622505
ATB,Atbara Airport,ATB,SD,17.71585438613935,34.02223435024945
ATC,Arthur'S Town Airport,ATC,BS,24.62572625055676,-75.67053883335822
ATD,Atoifi Airport,ATD,SB,-8.869386542949663,161.03552032555237
ATE,Antlers Airport,ATE,US,34.228499232994665,-95.61519664379404
ATF,Chachoan Airport,ATF,EC,-1.0886197757438447,-78.69575256016192
ATG,Attock Airport,ATG,PK,33.89618320911686,72.25571062572948
ATH,Eleftherios Venizelos International Airport,ATH,GR,37.9355365936949,23.949636560468463
ATI,Artigas Airport,ATI,UY,-30.40114125987549,-56.505096324194135
ATJ,Antsirabe Airport,ATJ,MG,-19.85298813403778,47.01691513300883
ATK,Atqasuk Airport,ATK,US,70.49672517858691,-157.32847613466296
ATL,Hartsfield Jackson Atlanta Airport,ATL,US,33.63835381323264,-84.42533187750799
ATM,Altamira Airport,ATM,BR,-3.2028340768303587,-52.21364407244552
ATN,Namatanai Airport,ATN,PG,-3.6669300630070927,152.46979374781773
ATO,Ohio University Airport,ATO,US,39.327822844677804,-82.09911971036338
ATP,Aitape Airstrip,ATP,PG,-3.1684566675206267,142.28834494078154
ATQ,Raja Sansi Airport,ATQ,IN,31.70175612691307,74.7996419028574
ATR,Mouakchott Airport,ATR,MR,20.49469977448611,-13.046248710992975
ATS,Artesia Airport,ATS,US,32.84767062434445,-104.46166448698372
ATT,Atmautluak Airport,ATT,US,60.86530467522269,-162.26737226312085
ATU,Casco Cove Airport,ATU,US,52.820977663253885,173.17649576395186
ATV,Ati Airport,ATV,TD,13.241054243858201,18.311730334615014
