iata,name,city,country,latitude,longitude
NOC,Ireland West Airport,NOC,IE,53.9096005339272,-8.817820322263358
NOD,Norddeich,NOD,DE,53.62884902318841,7.190619960061617
NOG,Nogales Airport,NOG,MX,31.329333232228958,-110.93035906498437
NOH,Chicago Nas,CHI,US,41.87748465051938,-87.61097308753696
NOI,Krymska Airport,NOI,RU,44.71362508071879,37.769378581755994
NOJ,Noyabrsk Airport,NOJ,RU,63.495180222676886,75.00017625688898
NOK,Nova Xavantina Airport,NOK,BR,-14.690637244241055,-52.345425742291745
NOL,Nakolik River Airport,NOL,US,67.89549544451175,-160.71466535910184
NOM,Nomad River Airport,NOM,PG,-6.30253571228811,142.21957859621784
NON,Nonouti Airport,NON,KI,-0.6818197919151148,174.35105607476225
NOO,Naoro Airport,NOO,PG,-9.201702566827464,147.53663497826264
NOR,Nordfjordur Airport,NOR,IS,65.12811452868685,-13.74525710084125
NOS,Fascene Airport,NOS,MG,-13.315539164304484,48.31753000004641
NOT,Novato Airport,NOT,US,38.14180147644011,-122.55566888142623
NOU,Tontouta Airport,NOU,NC,-22.018767695315248,166.21505767884813
NOV,Albano Machado Airport,NOV,AO,-12.80560663238144,15.762068528773446
NOZ,Spichenkovo Airport,NOZ,RU,53.74916963560735,87.1697975086675
NPA,Pensacola Nas,PNS,US,30.412598902208185,-87.21563490818745
NPE,Hawkes Bay Airport,NPE,NZ,-39.471062156856725,176.86634153851116
NPG,Nipa Airport,NPG,PG,-6.136378127236033,143.37123045255203
NPH,Nephi Airport,NPH,US,39.734622081454596,-111.87000867967053
NPL,New Plymouth Airport,NPL,NZ,-39.01269499184634,174.17916753410972
NPO,Nangapinoh Airport,NPO,ID,-0.338045111848413,111.73822700982431
NPP,Napperby Airport,NPP,AU,-22.500051852538316,132.68556342060717
NPR,Municipal Airport,NPR,BR,-7.127594816382147,-55.39928869756907
NPT,State Airport,NPT,US,41.527980455595234,-71.28167783876147
NPU,San Pedro Uraba Airport,NPU,CO,4.944625803397875,-71.91193354442439
NQA,Memphis Nas,MEM,US,35.12804197687451,-90.04604480967322
NQI,Kingsville Nas,NQI,US,27.513432901442478,-97.86118823913684
NQL,Niquelandia Airport,NQL,BR,-14.00308820427277,-48.982162047802014
NQN,Neuquen Airport,NQN,AR,-38.95539994999369,-68.14759772677692
NQT,Nottingham Airport,NQT,GB,52.964216975432805,-1.1631043760250088
NQU,Nuqui Airport,NQU,CO,5.6952004139324535,-77.28054419432445
NQX,Key West Nas,EYW,US,24.54551250894413,-81.7954563300538
NQY,Cornwall Airport,NQY,GB,50.437473869351216,-4.990462349144184
NRA,Narrandera Airport,NRA,AU,-34.70405456905139,146.52822584920196
NRB,Mayport Naval Station,NRB,US,30.332385160595557,-81.64648307406664
NRC,Aux Field,NRC,US,37.379767516025545,-121.09463677644715
NRD,Norderney Airport,NRD,DE,53.82938337721998,7.167702114075285
NRE,Namrole Airport,NRE,ID,-3.8216282981791805,126.72107340713686
NRG,Narrogin Airport,NRG,AU,-32.933614894670725,117.16987347557442
NRI,Shangri-La Airport,NRI,US,35.16241831896719,-99.83216909773824
NRK,Kungsangen Airport,NRK,SE,58.57920620907357,16.254812035876505
NRL,North Ronaldsay Airport,NRL,GB,59.36988939796176,-2.4293409799792136
NRM,Nara Airport,NRM,ML,15.246406321910408,-7.282293905327881
NRN,Weeze Airport,DUS,DE,51.60057995292352,6.153566725169193
NRR,Roosevelt Naval Air Station,NRR,PR,18.248706471596016,-65.63804279174167
NRS,Imperial Beach Nas,NRS,US,32.83620956691717,-115.5713223418463
NRT,Narita Airport,TYO,JP,35.75829768253744,140.39184729507912
NRV,Guam Uscg Shore St,GUM,GU,13.458778476483406,144.76924723224857
NRY,Newry Airport,NRY,AU,-16.019899632204964,129.23635887088574
NSA,Noosa Airport,NSA,AU,-26.419084624697405,153.0542120539607
NSB,North Spb,BIM,BS,25.77164245553543,-79.24579452421222
NSE,Whiting Field Naval Air Station,NSE,US,30.630324842380684,-87.04947689624855
NSF,Andrews Naf,ADW,US,38.81216063781477,-76.8279075580277
NSH,Now Shahr Airport,NSH,IR,36.66357095513093,51.50317462516996
NSI,Nsimalen Airport,YAO,CM,3.701307258873413,11.550829164863812
NSK,Alykel Airport,NSK,RU,69.31643433906287,87.31877076465464
NSL,Municipal Airport,NSL,US,43.98597087749148,-95.78135465573293
NSM,Norseman Airport,NSM,AU,-32.20022674763519,121.75353146529994
NSN,Nelson Airport,NSN,NZ,-41.30452740180368,173.22232633328264
NSO,Scone Airport,NSO,AU,-32.03979926440993,150.8368731021861
NSP,Sangley Point Naf,NSP,PH,14.490102890209482,120.90554981946451
NST,Nakhon Si Thammarat Airport,NST,TH,8.462586452399227,99.95248971015718
NSV,Noosaville Airport,NSV,AU,-26.419084624697405,153.03702729800895
NSX,Hovercraft Launch Pt,NSX,VG,18.495078225147545,-64.3660771531777
NSY,Naval Air Station,NSY,IT,37.39695568707188,14.92555135545989
NSZ,Ferry Port,NSZ,CN,22.775072834563467,113.61753306938581
NTA,Natadola Airport,NTA,FJ,-18.088277280823462,177.3189781748079
NTB,Notodden Airport,NTB,NO,59.58187797923144,9.287645983380088
NTC,Santa Carolina Airport,NTC,MZ,-21.617697279704803,35.34576791704701
NTD,Point Mugu Nas,NTD,US,34.14828549138203,-119.19813913074472
NTE,Nantes Atlantique Airport,NTE,FR,47.1544273315687,-1.6042818758851765
NTG,Nantong Airport,NTG,CN,32.062717964169906,120.96857880512539
NTI,Bintuni Airport,NTI,ID,-2.337667888486595,133.25279697079839
NTJ,Manti-Ephraim Airport,NTJ,US,39.26479727411151,-111.62936745483265
NTL,Williamtown Airport,NTL,AU,-32.79610269611086,151.8338211738195
NTM,Miracema Do Norte Airport,NTM,BR,-9.18451354200748,-48.49514906941259
NTN,Normanton Airport,NTN,AU,-17.692937393926663,141.07366409878645
NTO,Agostinho Neto Arport,NTO,CV,17.062683395811028,-25.078362886853505
NTQ,Noto Airport,NTQ,JP,37.28809271698563,136.96556486021225
NTR,Aeropuerto Del Norte,MTY,MX,25.662779485449185,-100.31345154741402
NTT,Kuini Lavenia Airport,NTT,TO,-15.504237425341927,-173.9958179360299
NTU,Oceana Nas,NTU,US,36.81253738092891,-76.03150067061505
NTX,Natuna Ranai Airport,NTX,ID,3.947679012424943,108.38642778785645
NTY,Pilansberg Airport,NTY,ZA,-26.0352023801333,27.92023384576656
NUA,Gregory'S Lake Airport,NUA,LK,6.96143723133007,80.76986244504135
NUB,Numbulwar Airport,NUB,AU,-14.272378657584277,135.71651450631367
NUD,En Nahud Airport,NUD,SD,12.748310736755142,28.418706174035968
NUE,Nuremberg Airport,NUE,DE,49.49782425466505,11.069545007640741
NUF,Castlereigh Reservoir Airport,NUF,LK,6.875493387890622,80.58651284696154
NUG,Nuguria Airport,NUG,PG,-3.4721243166984546,150.819674685856
NUH,Nunchia Airport,NUH,CO,5.614986245433,-72.21560375492315
NUI,Nuiqsut Airport,NUI,US,70.20451602551543,-151.00302428393582
NUJ,Nogeh Airport,NUJ,IR,35.196798076154444,48.66703419497055
NUK,Nukutavake Airport,NUK,PF,-19.18835608628218,-138.6958976637866
NUL,Nulato Airport,NUL,US,64.72703899043454,-158.0733219240312
NUN,Saufley Nas,PNS,US,30.46989394406084,-87.18698909480841
NUP,Nunapitchuk Airport,NUP,US,60.89395731879089,-162.46218291862795
NUQ,Moffett Field,NUQ,US,37.379767516025545,-122.08012379065326
NUR,Nullarbor Airport,NUR,AU,-31.438192787220622,130.92086110512932
NUS,Norsup Airport,NUS,VU,-16.06000650301128,167.40107904708583
NUT,Nutuve Airport,NUT,PG,-5.637904518306155,151.38690823604722
NUU,Nakuru Airport,NUU,KE,-0.3036676224974017,36.15363586188695
NUW,Ault Field,NUW,US,48.19720938762747,-122.28065814468484
NUX,Novyj Urengoj Airport,NUX,RU,66.0792252008003,76.51851364900448
NVA,La Marguita Airport,NVA,CO,2.950732648338834,-75.29238540996046
NVD,Nevada Airport,NVD,US,37.849592323368626,-94.30312413442375
NVG,Nueva Guinea Airport,NVG,NI,11.665420956116408,-84.44824716217339
NVI,Navoi Airport,NVI,UZ,40.11277550485235,65.16249087077954
NVK,Framnes Airport,NVK,NO,68.42262212389666,17.429375761781504
NVN,Nervino Airport,NVN,US,39.81483582306722,-120.34979098707892
NVP,Novo Aripuana Airport,NVP,BR,-5.133701661323107,-60.36110694088151
NVR,Novgorod Airport,NVR,RU,58.51617722341269,31.30068400375534
NVS,Fourchambault,NVS,FR,46.999726961962494,3.151267856144055
NVT,Navegantes Airport,NVT,BR,-26.87172126099415,-48.63265785287788
NVY,Neyveli Airport,NVY,IN,11.596665710610122,79.4348678208165
NWA,Bandar Es Salam Airport,NWA,KM,-12.284214750578409,43.76824493731898
NWH,Parlin Field Airport,NWH,US,43.36144570054219,-72.16403582668956
NWI,Norwich International Airport,NWI,GB,52.677738351074964,1.2834254153307767
NWP,Argentia Ns,NWP,CA,47.29766664374762,-53.96116504706621
NWS,Pier 11-Wall St Spb,NYC,US,40.702920924614375,-74.00895871396922
NWT,Nowata Airport,NWT,PG,-9.986654373228362,149.7367891740855
NWU,Bermuda Nas,BDA,BM,32.744538182971844,-64.99633285884063
NXX,Willow Grove Nas,NXX,US,40.19871977517862,-75.1319579267352
NYA,Nyagan Airport,NYA,RU,62.09716344298034,65.603666449649
NYE,Nyeri Airport,NYE,KE,-0.4182592003065866,36.95004957948878
NYG,Quantanico Nas,NYG,US,38.51422437112423,-77.28054419432445
NYI,Sunyani Airport,NYI,GH,7.32813045107419,-2.3319382135466005
